,label,text
0,0,Klarifikasi Gedung DPR Tidak Terjadi Kebakaran
1,0,“Cairan dalam Wadah Mainan Anak yang Menyerupai Pisang Tidak Mengandung Narkoba”
2,0,Kemenag Bantah Edaran Surat Guru Madrasah Wajib Melengkapi data
3,0,[BENAR]: Metro TV Klarifikasi Tayangan Quick Count Unggulkan Prabowo
4,0,PT KCI Mengklarifikasi Kabar Tiket Kertas Gratis di Stasiun Bogor Pada Senin 23 Juli 2018
"5,0,""Penjelasan Lengkap terkait Unggahan yang Bergambar Ridwan Kamil, Yusuf Mansur, dan TGB soal Dugaan Kasus Hukum yang Menimpa Mereka di Media Daring"""
6,0,Klarifikasi terkait Pesta Budaya Tabuik yang Disebut Beraliran Syiah
7,0,Pihak Kepolisian Bantah Info Penculikan Kakak Beradik di Sragen kota
8,0,Klarifikasi Tentang Isu Gunung Salak Erupsi/Meletus
9,0,Permen Jeli yang Dibuat dengan Gelatin yang Berasal dari Kulit dan Tulang Hewan.
10,0,Berpose Foto Salam Dua Jari Memakai Rompi Bawaslu
11,0,Klarifikasi Kemenpora Terkait Pelatih Asian Games 2018 yang Belum Terima Bonus
12,0,PLN Bantah Informasi Tenggat Pembayaran Listrik Dimajukan Tanggal 5 Setiap Bulannya
13,0,Tulisan #2019gantipresiden di Struk Pembayaran Ayam Geprek Eskom
"14,0,""Komisioner KPU, Ilham Saputra adalah adik kandung Yuga Aden, Tim Komunikasi Badan Pemenangan Nasional (BPN)"""
15,0,Klarifikasi KPK Terkait Isu Mengusulkan Penghapusan LHKPN
16,0,Indosat Tidak Mengirimkan SMS Berantai Kepada Penggunanya Di Lokasi Reuni Alumni 212
17,0,Penjelasan Terkait Beredarnya Foto Kartu E-Money Prabowo-Sandi
18,0,Klarifikasi Divisi Humas Polri terkait informasi “anak China ancam tembak Jokowi dibebaskan”
19,0,Kapten Timnas U-23 Hansamu Yama Bantah Dirinya Menjadi Salah Satu Korban Kecelakaan Pesawat Lion Air JT 610
20,0,“APLSI Bantah Harga Listrik di Indonesia Termahal di Dunia”
21,0,“Pemkab Kotim dan Pihak RSUD dr Murjani Sampit Bantah Rumah Sakitnya Turun Kelas”
22,0,Fakta Sesungguhnya terkait Video Deklarasi Keluarga Ibu Kandung Prabowo di Minahasa Mendukung Jokowi dalam Pilpres 2019
23,0,Klarifikasi Video TKA China Mengukur Tanah
24,0,Usus Buntu Bukan Disebabkan Oleh Menelan Biji Jambu
25,0,“Pemprov Riau Bantah akan ‘Rumahkan’ Ribuan Pegawai Honorer”
26,0,“Foto wanita Iran yang menonton Piala Dunia tanpa hijab menjadi viral”
27,0,Klarifikasi BPN Prabowo-Sandi Terkait Isu Penunjukkan Hotman Paris Hutapea Sebagai Pengacara Timses
28,0,MITRA OJEK ONLINE DISERANG HOAKS RACUNI PESANAN MAKANAN KONSUMEN
29,0,Klarifikasi “#SOSDrJohnSimpsonForIndonesia”
30,0,Klarifikasi Kemenkes Terkait Tuduhan Penggunaan Foto Tanpa Izin Untuk Bungkus Rokok
31,0,BKD Provinsi Papua Tidak Pernah Janjikan Jatah Penerimaan CPNS 2018
32,0,Penjelasan terkait Pernyataan Prabowo soal Impor Air di Debat Capres
33,0,Penyebutan “topan dan badai” di doa Ma’ruf Amin
34,0,DINAS PERHUBUNGAN BERI PENJELASAN TERKAIT “FLYER” TIKET KAPAL DIGRATISKAN SAAT JEMBATAN SURAMADU DITUTUP
"35,0,""VIRAL DUA ANAK DITOLAK DAFTAR SMP DI MEDAN KARENA TAK MILIKI KK, PIHAK SEKOLAH BERI TANGGAPAN"""
36,0,Kementerian PUPR Memberikan Klarifikasi Terkait Jembatan Layang Rawa Buaya yang Dikatakan Retak
"37,0,""Gelar Aksi Buang Cabai ke Jalan Karena ‘Termakan’ Hoax Cabai Impor, Petani Demak Minta Ma’af."""
38,0,Klarifikasi Gubernur DKI Jakarta Terkait Wacana Penghapusan Koridor 1 Transjakarta
39,0,“Sophia Latjuba Bantah jadi Anggota Jurkam Jokowi – Ma’ruf”
40,0,“SMK Tidak Boleh Lagi Buka Jurusan Komputer Jaringan”
"41,0,""“Doktor yang jadi Pemulung Sampah ini, Ternyata Adiknya Pramodya Ananta Toer”"""
"42,0,""Penjelasan terkait Unggahan yang Berisi Berita Berjudul “Tanahnya Dipatok Rp3.500 per Meter, Warga Demo Bawa Foto Jokowi “Hoax Ganti Untung”"""
